question,answer
"What is diabetes?","Diabetes is a condition where blood sugar levels are too high."
"What are symptoms of flu?","Common symptoms include fever, cough, sore throat, and fatigue."
"How to prevent dehydration?","Drink plenty of water and avoid excessive heat exposure."
"What are the symptoms of diabetes?","Increased thirst, frequent urination, fatigue, blurred vision, and slow-healing wounds."
"What are the early signs of hypertension?","Headaches, dizziness, nosebleeds, and sometimes no symptoms at all."
"What are the symptoms of dengue fever?","High fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding."
"How often should adults get a health check-up?","Adults should get a routine health check-up once a year or as advised by their doctor."
"What vaccines are recommended for children?","Children should receive vaccines for measles, mumps, rubella, polio, hepatitis B, and other age-appropriate immunizations."
"What is the first-line treatment for asthma?","Inhaled corticosteroids are the primary treatment, often combined with bronchodilators for symptom relief."
"How is malaria treated?","Malaria is treated with antimalarial drugs such as artemisinin-based combination therapies (ACTs)."
"What medicines are used for high blood pressure?","Common medicines include ACE inhibitors, beta-blockers, calcium channel blockers, and diuretics."
"What should I do if someone has chest pain?","Call emergency services immediately, keep the person calm, and avoid physical exertion until help arrives."
"What is the first aid for burns?","Cool the burn under running water for 10–20 minutes, cover with a clean cloth, and avoid applying creams or oils."
